phase,split,nu,unstable_modes,primary_sensors,control_sensors,grid_sizes,model_seeds,collocation_per_grid,status
G1,validation,0.0050,4,3,4,"31;47;63;95;127",1303,4096,frozen
G1,locked_test,0.0050,4,3,4,"31;63;127;191;255",1303,8192,locked
G2-q2,train,0.0075,3,2,3,"31;63","1401;1402;1403;1404;1405",4096,planned
G2-q2,zero_shot_validation,0.0100,3,2,3,"47;95","1401;1402;1403;1404;1405",4096,planned
G2-q2,locked_test,0.0100,3,2,3,"127;191","selected-validation-seeds",8192,locked
G2-q1,train,0.0150,2,1,2,"31;63","1501;1502;1503;1504;1505",4096,planned
G2-q1,zero_shot_validation,0.0200,2,1,2,"47;95","1501;1502;1503;1504;1505",4096,planned
G2-q1,locked_test,0.0200,2,1,2,"127;191","selected-validation-seeds",8192,locked
